Liczba Obiektów	Czas w ms	Średnia
3000000	697,1134	
3000000	701,3237	
3000000	694,5039	
3000000	655,2689	
3000000	685,2807	
3000000	668,2539	
3000000	668,1013	
3000000	645,8634	
3000000	651,2259	
3000000	649,3584	
3000000	673,4734	
3000000	712,2331	
3000000	655,696	
3000000	686,7706	
3000000	671,4632	
3000000	671,8904	
3000000	679,7937	
3000000	643,8817	
3000000	660,6858	
3000000	639,85	
3000000	667,6025	
3000000	641,7291	
3000000	654,3857	
3000000	641,2754	
3000000	658,6731	
3000000	650,8518	
3000000	685,7878	
3000000	658,1851	
3000000	679,0789	
3000000	651,1986	
3000000	672,9205	
3000000	655,4408	
3000000	678,4239	
3000000	691,9467	679,561172
4000000	886,5704	
4000000	891,0718	
4000000	888,112	
4000000	880,2478	
4000000	879,8679	
4000000	895,3751	
4000000	905,4751	
4000000	875,088	
4000000	877,5975	
4000000	887,4251	
4000000	938,7443	
4000000	962,3833	
4000000	918,9585	
4000000	922,1093	
4000000	892,4123	
4000000	890,1204	
4000000	884,9991	
4000000	879,5351	
4000000	874,7393	
4000000	892,2827	
4000000	909,0951	
4000000	960,3888	
4000000	924,9639	
4000000	896,5833	
4000000	909,2326	
4000000	904,984	
4000000	940,9636	
4000000	909,6218	
4000000	914,6253	
4000000	957,995	
4000000	1006,1214	
4000000	1035,8949	
4000000	1070,3354	
4000000	999,0645	
4000000	993,4132	
4000000	907,6632	
4000000	912,978	
4000000	936,1046	
4000000	956,2259	
4000000	950,5945	
4000000	941,4687	
4000000	894,6759	
4000000	965,4209	
4000000	929,3276	
4000000	901,0488	
4000000	911,3197	
4000000	933,7633	
4000000	937,315	
4000000	984,4045	
4000000	907,5885	
4000000	901,4259	
4000000	917,09	
4000000	908,9001	
4000000	899,674	
4000000	919,1858	
4000000	884,4687	
4000000	903,5376	
4000000	891,7458	
4000000	890,5565	
4000000	981,737	
4000000	926,3017	
4000000	898,7514	
4000000	916,4608	
4000000	951,1502	
4000000	926,1388	
4000000	922,0409	
4000000	888,7961	
4000000	927,265	
4000000	861,0895	
4000000	859,9163	
4000000	852,094	
4000000	877,3313	
4000000	930,5685	
4000000	886,9022	
4000000	921,7099	
4000000	980,7222	
4000000	1205,9262	
4000000	972,8707	
4000000	906,6741	
4000000	923,0889	
4000000	915,5498	
4000000	934,9723	
4000000	905,2636	
4000000	911,912	
4000000	911,4252	
4000000	896,9251	
4000000	912,4474	
4000000	975,0117	
4000000	946,999	
4000000	947,4938	
4000000	904,5611	
4000000	940,8124	
4000000	893,3362	
4000000	897,003	
4000000	871,3517	
4000000	886,7066	
4000000	889,5287	
4000000	903,5588	
4000000	904,1505	
4000000	863,9179	920,733438
10000000	2327,5036	
10000000	2283,9314	
10000000	2283,652	
10000000	2284,3442	
10000000	2267,745	
10000000	2312,0912	
10000000	2257,8435	
10000000	2289,2569	
10000000	2261,0794	
10000000	2265,5951	
10000000	2302,8225	
10000000	2286,8002	
10000000	2282,0155	
10000000	2299,92	
10000000	2285,703	
10000000	2312,1046	
10000000	2258,8656	
10000000	2277,878	
10000000	2275,5217	
10000000	2266,1233	
10000000	2282,95	
10000000	2275,8959	
10000000	2283,0284	
10000000	2265,3838	
10000000	2256,4269	
10000000	2307,5363	
10000000	2293,1126	
10000000	2262,5319	
10000000	2295,8784	
10000000	2307,1299	
10000000	2322,7245	
10000000	2288,2419	
10000000	2365,2896	
10000000	2284,5997	
